Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
628,Development_NOTCH in inhibition of WNT/Beta-catenin-induced osteogenesis,42,1.40E-02,3.26E-02,1.40E-02,3.26E-02,9,"RUNX2, WNT, ALPL, Beta-catenin, Jagged1, Dsh, TCF7 (TCF1), Frizzled, C/EBPalpha",8.05E-02,1.72E-01,7,"RUNX2, WNT, ALPL, Jagged1, TCF7 (TCF1), Frizzled, C/EBPalpha"
629,Chemotaxis_SDF-1/ CXCR4-induced chemotaxis of immune cells,79,1.41E-02,3.28E-02,1.41E-02,3.28E-02,14,"ITGB1, PI3K cat class IA, PAK, Lck, ITGB2, alpha-4/beta-1 integrin, ICAM1, G-protein alpha-i family, F-Actin cytoskeleton, ERK1/2, Fyn, AKT(PKB), SFK, PI3K reg class IB (p101)",9.81E-02,1.98E-01,11,"ITGB1, PI3K cat class IA, PAK, ITGB2, alpha-4/beta-1 integrin, ICAM1, G-protein alpha-i family, Fyn, AKT(PKB), SFK, PI3K reg class IB (p101)"
630,Stem cells_MMP-14-induced COX-2 expression in glioblastoma stem cells,23,1.42E-02,3.71E-02,1.67E-02,3.71E-02,6,"COX-2 (PTGS2), cPLA2, MMP-14, MMP-2, NF-kB, AKT(PKB)",1.42E-02,5.00E-02,6,"COX-2 (PTGS2), cPLA2, MMP-14, MMP-2, NF-kB, AKT(PKB)"
631,Signal transduction_NF-kB activation pathways,51,1.46E-02,4.01E-02,1.82E-02,4.01E-02,10,"IL-1 beta, c-IAP2, RelA (p65 NF-kB subunit), Pellino 1, Pellino 2, c-IAP1, TLR4, TIRAP (Mal), NF-kB, TLR2",1.46E-02,5.06E-02,10,"IL-1 beta, c-IAP2, RelA (p65 NF-kB subunit), Pellino 1, Pellino 2, c-IAP1, TLR4, TIRAP (Mal), NF-kB, TLR2"
632,Tinnitus-associated changes in auditory pathway ,82,1.46E-02,4.14E-02,1.92E-02,4.14E-02,14,"NMDA receptor, GRID1, GRIK4, GABA-A receptor, GRIK5, GluR6, NR1, GABA-A receptor delta subunit, mGluR4A, GRID2, GABA-A receptor gamma-3 subunit, GAD1, GABA-A receptor gamma-2 subunit, NR2A",1.46E-02,5.06E-02,14,"NMDA receptor, GRID1, GRIK4, GABA-A receptor, GRIK5, GluR6, NR1, GABA-A receptor delta subunit, mGluR4A, GRID2, GABA-A receptor gamma-3 subunit, GAD1, GABA-A receptor gamma-2 subunit, NR2A"
633,Skeletal muscle atrophy in COPD,57,1.53E-02,3.53E-02,1.53E-02,3.53E-02,11,"MYBPC1, Tuberin, RelA (p65 NF-kB subunit), iNOS, ERK1/2, PPARGC1 (PGC1-alpha), SMAD3, ERK2 (MAPK1), AKT(PKB), Vimentin, MyHC",4.12E-01,5.80E-01,6,"MYBPC1, RelA (p65 NF-kB subunit), iNOS, PPARGC1 (PGC1-alpha), AKT(PKB), Vimentin"
634,Lysophospholipid mediators-induced inflammatory signaling in normal and asthmatic airway epithelium,57,1.53E-02,3.53E-02,1.53E-02,3.53E-02,11,"COX-2 (PTGS2), CCL20, LPAR1, IL-8, Lyn, G-protein alpha-i family, ERK1/2, NF-kB, AKT(PKB), PDK (PDPK1), MMP-9",6.86E-02,1.53E-01,9,"COX-2 (PTGS2), CCL20, LPAR1, IL-8, Lyn, G-protein alpha-i family, NF-kB, AKT(PKB), MMP-9"
635,Neurophysiological process_Melatonin signaling,44,1.53E-02,4.11E-02,1.89E-02,4.11E-02,9,"MaxiK alpha subunit, ROR-alpha, G-protein alpha-i family, Adenylate cyclase, Melatonin receptor 1A, ALOX5, CYP19, Kir3.1, IP3 receptor",1.53E-02,5.25E-02,9,"MaxiK alpha subunit, ROR-alpha, G-protein alpha-i family, Adenylate cyclase, Melatonin receptor 1A, ALOX5, CYP19, Kir3.1, IP3 receptor"
636,Apoptosis and survival_nAChR in apoptosis inhibition and cell cycle progression,29,1.54E-02,3.53E-02,1.54E-02,3.53E-02,7,"nAChR alpha-7, Tuberin, PI3K cat class IA, nAChR alpha, Fyn, AKT(PKB), PDK (PDPK1)",1.16E-01,2.24E-01,5,"nAChR alpha-7, PI3K cat class IA, nAChR alpha, Fyn, AKT(PKB)"
637,Immune response_Delta-type opioid receptor signaling in T-cells,29,1.54E-02,3.53E-02,1.54E-02,3.53E-02,7,"Metenkefalin, G-protein alpha-i family, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), ERK1 (MAPK3)",2.65E-01,4.12E-01,4,"Metenkefalin, G-protein alpha-i family, AKT(PKB), PI3K reg class IB (p101)"
638,Stem cells_Notch signaling in medulloblastoma stem cells,29,1.54E-02,3.53E-02,1.54E-02,3.53E-02,7,"HES5, PTCH1, GLI-1, FKHL1, Jagged1, p27KIP1, GLI-2",4.21E-02,1.08E-01,6,"HES5, PTCH1, GLI-1, FKHL1, Jagged1, GLI-2"
639,Development_Auditory hair cell differentiation in embryogenesis,29,1.54E-02,3.53E-02,1.54E-02,3.53E-02,7,"NGFR(TNFRSF16), HES5, SOX2, BMP4, Jagged1, p27KIP1, GFI-1",4.21E-02,1.08E-01,6,"NGFR(TNFRSF16), HES5, SOX2, BMP4, Jagged1, GFI-1"
640,Reactive oxygen and nitrogen species production in eosinophils in asthma,59,1.55E-02,4.20E-02,1.96E-02,4.20E-02,11,"Histamine H1 receptor, ST2(L), ITGB1, PI3K cat class IA, iNOS, Eotaxin-2, ITGA4, ITGB2, ICAM1, IL-33, C3a",1.55E-02,5.26E-02,11,"Histamine H1 receptor, ST2(L), ITGB1, PI3K cat class IA, iNOS, Eotaxin-2, ITGA4, ITGB2, ICAM1, IL-33, C3a"
641,Role of SHH and Notch in SCLC,30,1.55E-02,4.04E-02,1.85E-02,4.04E-02,7,"PTCH1, BMP4, AL1A1, Nestin, GLI-1, Jagged1, GLI-2",1.55E-02,5.26E-02,7,"PTCH1, BMP4, AL1A1, Nestin, GLI-1, Jagged1, GLI-2"
642,A shift in alveolar macrophage phenotype in COPD,37,1.57E-02,4.11E-02,1.90E-02,4.11E-02,8,"MHC class II, iNOS, CD14, CD44, MMP-2, Matrilysin (MMP-7), AKT(PKB), MARCO",1.57E-02,5.27E-02,8,"MHC class II, iNOS, CD14, CD44, MMP-2, Matrilysin (MMP-7), AKT(PKB), MARCO"
643,Neurophysiological process_Leptin signaling in neurons,50,1.59E-02,3.65E-02,1.59E-02,3.65E-02,10,"STAT3, TY3H, POMC, MaxiK alpha subunit, PTEN, IRS-2, NPY, AKT(PKB), Kir6.2, PDK (PDPK1)",1.62E-01,2.85E-01,7,"TY3H, POMC, MaxiK alpha subunit, IRS-2, NPY, AKT(PKB), Kir6.2"
644,Modulation of tumor response to cytotoxic T cells by hypoxia in tumors,50,1.59E-02,3.65E-02,1.59E-02,3.65E-02,10,"STAT3, Bcl-2, ERK1/2, Beclin 1, 5'-NTD, CD137 ligand(TNFSF9), HOXA1, AKT(PKB), CD137(TNFRSF9), PD-L1",1.62E-01,2.85E-01,7,"Bcl-2, 5'-NTD, CD137 ligand(TNFSF9), HOXA1, AKT(PKB), CD137(TNFRSF9), PD-L1"
645,Immune response_Inhibitory action of lipoxins on superoxide production induced by IL-8 and Leukotriene B4 in neutrophils,50,1.59E-02,3.65E-02,1.59E-02,3.65E-02,10,"G-protein alpha-15, PKC-alpha, IL-8, G-protein alpha-i family, Rac2, IL8RA, PDK (PDPK1), PI3K reg class IB (p101), IP3 receptor, PREX1",3.34E-02,9.29E-02,9,"G-protein alpha-15, PKC-alpha, IL-8, G-protein alpha-i family, Rac2, IL8RA, PI3K reg class IB (p101), IP3 receptor, PREX1"
646,Immune response_IL-6-induced acute-phase response in hepatocytes,36,1.62E-02,3.66E-02,1.62E-02,3.66E-02,8,"STAT3, GRO-1, SAA1, SAA2, A2M, C3, IL-6, Hemopexin",3.97E-02,1.05E-01,7,"GRO-1, SAA1, SAA2, A2M, C3, IL-6, Hemopexin"
647,Cigarette smoke components TCDD and Benzo[a]pyrene and receptor AHR signaling in lung epithelial cells,36,1.62E-02,3.66E-02,1.62E-02,3.66E-02,8,"COX-2 (PTGS2), IL-1 beta, CYP1A1, CCL2, TGF-beta receptor type II, Mucin 5AC, TGF-alpha, SMAD3",3.97E-02,1.05E-01,7,"COX-2 (PTGS2), IL-1 beta, CYP1A1, CCL2, TGF-beta receptor type II, Mucin 5AC, TGF-alpha"
648,Inhibition of apoptosis in multiple myeloma,36,1.62E-02,3.66E-02,1.62E-02,3.66E-02,8,"STAT3, c-IAP2, TLR4, Bcl-2, IL-6, NF-kB, p53, Jagged1",1.02E-01,2.02E-01,6,"c-IAP2, TLR4, Bcl-2, IL-6, NF-kB, Jagged1"
649,Development_SSTR2 in regulation of cell proliferation,36,1.62E-02,3.66E-02,1.62E-02,3.66E-02,8,"PI3K cat class IA, Cyclin E, G-protein alpha-i family, ERK1/2, SOS, AKT(PKB), PDK (PDPK1), p27KIP1",2.22E-01,3.60E-01,5,"PI3K cat class IA, Cyclin E, G-protein alpha-i family, SOS, AKT(PKB)"
650,Development_ACM2 and ACM4 activation of ERK,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"PKC-alpha, EGFR, G-protein alpha-i family, ERK1/2, ACM4, Caldesmon, Fyn, SOS, IP3 receptor",3.66E-02,9.76E-02,8,"PKC-alpha, EGFR, G-protein alpha-i family, ACM4, Caldesmon, Fyn, SOS, IP3 receptor"
651,Apoptosis and survival_Anti-apoptotic action of Gastrin,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"BAD, PI3K cat class IA, PKC-alpha, Bcl-2, ERK1/2, AKT(PKB), G-protein alpha-q/11, PDK (PDPK1), IP3 receptor",1.89E-01,3.20E-01,6,"PI3K cat class IA, PKC-alpha, Bcl-2, AKT(PKB), G-protein alpha-q/11, IP3 receptor"
652,Nicotine / nAChR alpha-7 signaling in NSCLC,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"nAChR alpha-7, Tuberin, PI3K cat class IA, PKC-alpha, Cyclin E, ERK1/2, AKT(PKB), PDK (PDPK1), Fibronectin",1.89E-01,3.20E-01,6,"nAChR alpha-7, PI3K cat class IA, PKC-alpha, Cyclin E, AKT(PKB), Fibronectin"
653,Development_S1P3 receptor signaling pathway,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"PI3K cat class IA, CD44, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PDGF receptor, PDK (PDPK1), PI3K reg class IB (p101), IP3 receptor",3.66E-02,9.76E-02,8,"PI3K cat class IA, CD44, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PDGF receptor, PI3K reg class IB (p101), IP3 receptor"
654,Role of epigenetic alterations in survival and migration of SCLC cells,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"Laminin 5, LAMC2, Connexin 26, Bcl-2, H-cadherin, LAMB3, Caspase-8, HGF receptor (Met), LAMA3 (Epiligrin)",3.66E-02,9.76E-02,8,"Laminin 5, LAMC2, Connexin 26, Bcl-2, H-cadherin, LAMB3, HGF receptor (Met), LAMA3 (Epiligrin)"
655,Environmental factors-induced inflammatory signaling in normal and asthmatic airway epithelium,43,1.63E-02,3.66E-02,1.63E-02,3.66E-02,9,"IL-1 beta, iNOS, PKC, ICAM1, IL-8, ERK1/2, sICAM1, IL-6, NF-kB",3.66E-02,9.76E-02,8,"IL-1 beta, iNOS, PKC, ICAM1, IL-8, sICAM1, IL-6, NF-kB"
656,Apoptosis and survival_Beta-2 adrenergic receptor anti-apoptotic action,23,1.67E-02,3.71E-02,1.67E-02,3.71E-02,6,"G-protein alpha-i family, Beta-2 adrenergic receptor, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), Adenylate cyclase type VII",5.11E-02,1.23E-01,5,"G-protein alpha-i family, Beta-2 adrenergic receptor, AKT(PKB), PI3K reg class IB (p101), Adenylate cyclase type VII"
657,Development_EGFR signaling via PIP3,23,1.67E-02,3.71E-02,1.67E-02,3.71E-02,6,"PI3K cat class IA, PTEN, IRS-2, EGFR, AKT(PKB), PDK (PDPK1)",1.49E-01,2.69E-01,4,"PI3K cat class IA, IRS-2, EGFR, AKT(PKB)"
658,Development_Delta- and kappa-type opioid receptors signaling via beta-arrestin,23,1.67E-02,3.71E-02,1.67E-02,3.71E-02,6,"Metenkefalin, PKC, G-protein alpha-i family, Leu-enkephalin, p27KIP1, Kappa-type opioid receptor",5.11E-02,1.23E-01,5,"Metenkefalin, PKC, G-protein alpha-i family, Leu-enkephalin, Kappa-type opioid receptor"
659,Development_Thrombopoietin signaling via JAK-STAT pathway,23,1.67E-02,3.71E-02,1.67E-02,3.71E-02,6,"STAT3, TAP1 (PSF1), CISH, ERG, Thrombopoietin, Pim-1",5.11E-02,1.23E-01,5,"TAP1 (PSF1), CISH, ERG, Thrombopoietin, Pim-1"
660,Involvement of VEGF signaling in the progression of lung cancer,17,1.69E-02,3.76E-02,1.69E-02,3.76E-02,5,"CNTN1 (F3), ERK1/2, Fyn, AKT(PKB), C/EBPalpha",6.11E-02,1.40E-01,4,"CNTN1 (F3), Fyn, AKT(PKB), C/EBPalpha"
661,Aberrant production of IL-2 and IL-17 in SLE T cells,58,1.73E-02,3.83E-02,1.73E-02,3.83E-02,11,"Syk, IL-1 beta, MHC class II, RelA (p65 NF-kB subunit), Lck, ETS1, ROR-gamma, ERK1/2, IL-6, SOS, AKT(PKB)",7.50E-02,1.63E-01,9,"Syk, IL-1 beta, MHC class II, RelA (p65 NF-kB subunit), ETS1, ROR-gamma, IL-6, SOS, AKT(PKB)"
662,"Immune response_TLR5, TLR7, TLR8 and TLR9 signaling pathways",58,1.73E-02,3.83E-02,1.73E-02,3.83E-02,11,"STAT3, IL-1 beta, PI3K cat class IA, IL-8, ERK1/2, IL-6, TLR7, NF-kB, AKT(PKB), PDK (PDPK1), IFN-beta",1.50E-01,2.70E-01,8,"IL-1 beta, PI3K cat class IA, IL-8, IL-6, TLR7, NF-kB, AKT(PKB), IFN-beta"
663,Hyaluronic acid/ CD44 signaling in cancer,58,1.73E-02,3.83E-02,1.73E-02,3.83E-02,11,"STAT3, Ankyrin 1, HOXD10, ESR1 (nuclear), CD44, PDCD4, Actin cytoskeletal, ERK2 (MAPK1), Collagen IV, MMP-9, MDR1",1.50E-01,2.70E-01,8,"Ankyrin 1, HOXD10, ESR1 (nuclear), CD44, PDCD4, Collagen IV, MMP-9, MDR1"
664,CHDI_DEGs from Replication data_Causal network,81,1.74E-02,3.84E-02,1.74E-02,3.84E-02,14,"PKC, PTEN, cPLA2, WNT, TCF7L2 (TCF4), ERK1/2, Beta-catenin, SOS, AKT(PKB), p53, Dsh, Frizzled, IP3 receptor, ACM3",3.09E-01,4.68E-01,9,"PKC, cPLA2, WNT, TCF7L2 (TCF4), SOS, AKT(PKB), Frizzled, IP3 receptor, ACM3"
665,Retinoic acid regulation of oligodendrocyte differentiation in multiple sclerosis,24,1.75E-02,4.39E-02,2.05E-02,4.39E-02,6,"Myelin basic protein, DHA2, BMP4, STRA6, PDGF-R-alpha, BMP2",1.75E-02,5.79E-02,6,"Myelin basic protein, DHA2, BMP4, STRA6, PDGF-R-alpha, BMP2"
666,Cell adhesion_Ephrin signaling,45,1.77E-02,4.60E-02,2.17E-02,4.60E-02,9,"HGK(MAP4K4), RHO6, G-protein alpha-i family, Ephrin-A receptor 8, Fyn, Ephrin-A receptors, Ephrin-B receptor 1, Ephrin-B receptors, Ephrin-A receptor 2",1.77E-02,5.79E-02,9,"HGK(MAP4K4), RHO6, G-protein alpha-i family, Ephrin-A receptor 8, Fyn, Ephrin-A receptors, Ephrin-B receptor 1, Ephrin-B receptors, Ephrin-A receptor 2"
667,Immune response_NF-AT in immune response,51,1.82E-02,4.01E-02,1.82E-02,4.01E-02,10,"Syk, MHC class II, PI3K cat class IA, Lck, PKC-theta, Lyn, BLNK, NF-kB, AKT(PKB), IP3 receptor",3.74E-02,9.94E-02,9,"Syk, MHC class II, PI3K cat class IA, PKC-theta, Lyn, BLNK, NF-kB, AKT(PKB), IP3 receptor"
668,Development_Schema: Embryonal myogenesis,12,1.82E-02,4.39E-02,2.05E-02,4.39E-02,4,"HGF, WNT7A, BMP4, HGF receptor (Met)",1.82E-02,5.95E-02,4,"HGF, WNT7A, BMP4, HGF receptor (Met)"
669,Cell adhesion_Cell-matrix glycoconjugates,38,1.84E-02,4.65E-02,2.22E-02,4.65E-02,8,"Galectin-3, NCAM1, CD44, Elastin, Versican, CEACAM5, A1M, MMP-9",1.84E-02,5.95E-02,8,"Galectin-3, NCAM1, CD44, Elastin, Versican, CEACAM5, A1M, MMP-9"
670,Development_G-CSF-induced myeloid differentiation,30,1.85E-02,4.04E-02,1.85E-02,4.04E-02,7,"STAT3, ITGB2, NGAL, ERK1/2, p27KIP1, C/EBPalpha, GFI-1",2.85E-01,4.37E-01,4,"ITGB2, NGAL, C/EBPalpha, GFI-1"
671,Role of CNTF and LIF in regulation of oligodendrocyte development in multiple sclerosis,30,1.85E-02,4.04E-02,1.85E-02,4.04E-02,7,"STAT3, c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), LIF, AKT(PKB), PDK (PDPK1)",1.29E-01,2.41E-01,5,"c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), LIF, AKT(PKB)"
672,Signal transduction_HTR2A signaling outside the nervous system,74,1.89E-02,4.11E-02,1.89E-02,4.11E-02,13,"STAT3, COX-2 (PTGS2), cPKC (conventional), PI3K cat class IA, PKC, EGFR, G-protein alpha-i family, Adenylate cyclase, ERK1/2, AKT(PKB), G-protein alpha-q/11, Caveolin-1, CaMK II delta",6.79E-02,1.52E-01,11,"COX-2 (PTGS2), cPKC (conventional), PI3K cat class IA, PKC, EGFR, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), G-protein alpha-q/11, Caveolin-1, CaMK II delta"
673,Cell adhesion_Role of tetraspanins in the integrin-mediated cell adhesion,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"ITGB1, Laminin 5, alpha-4/beta-1 integrin, PKC-alpha, alpha-5/beta-1 integrin, Actin cytoskeletal, Fibronectin, Actin",4.53E-02,1.14E-01,7,"ITGB1, Laminin 5, alpha-4/beta-1 integrin, PKC-alpha, alpha-5/beta-1 integrin, Fibronectin, Actin"
674,Development_Negative feedback regulation of WNT/Beta-catenin signaling,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"ZNF703, Tcf(Lef), WNT, G-protein alpha-i family, TCF7L2 (TCF4), Beta-catenin, Dsh, Frizzled",1.13E-01,2.19E-01,6,"ZNF703, Tcf(Lef), WNT, G-protein alpha-i family, TCF7L2 (TCF4), Frizzled"
675,Deregulation of PSD-95-dependent signaling in Huntington's disease,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"NMDA receptor, RelA (p65 NF-kB subunit), NR2, NR1, ERK1/2, ERK2 (MAPK1), NR2A, ERK1 (MAPK3)",2.40E-01,3.83E-01,5,"NMDA receptor, RelA (p65 NF-kB subunit), NR2, NR1, NR2A"
676,Immune response_Oncostatin M signaling via MAPK,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"MMP-13, CCL2, ERK1/2, LIFR, SOS, OSMR, ERK2 (MAPK1), ERK1 (MAPK3)",2.40E-01,3.83E-01,5,"MMP-13, CCL2, LIFR, SOS, OSMR"
677,Immune response_IL-7 signaling in T lymphocytes,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"STAT3, Lck, IRS-2, Bcl-2, TCR gamma locus, Fyn, AKT(PKB), PDK (PDPK1)",2.40E-01,3.83E-01,5,"IRS-2, Bcl-2, TCR gamma locus, Fyn, AKT(PKB)"
678,Immune response_Regulation of T cell function by CTLA-4,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"PI3K cat class IA, Lck, Lyn, Fyn, SOS, NF-kB, AKT(PKB), PDK (PDPK1)",1.13E-01,2.19E-01,6,"PI3K cat class IA, Lyn, Fyn, SOS, NF-kB, AKT(PKB)"
679,G-protein signaling_H-RAS regulation pathway,37,1.90E-02,4.11E-02,1.90E-02,4.11E-02,8,"TIE2, PI3K cat class IA, Lck, CalDAG-GEFIII, GFRalpha1, Angiopoietin 1, SOS, PDGF-R-beta",4.53E-02,1.14E-01,7,"TIE2, PI3K cat class IA, CalDAG-GEFIII, GFRalpha1, Angiopoietin 1, SOS, PDGF-R-beta"
680,Oxidative stress_Activation of NADPH oxidase,59,1.96E-02,4.20E-02,1.96E-02,4.20E-02,11,"cPKC (conventional), PI3K cat class IA, PKC, PKC-alpha, ERK1/2, Rac2, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), IP3 receptor, PREX1",8.17E-02,1.73E-01,9,"cPKC (conventional), PI3K cat class IA, PKC, PKC-alpha, Rac2, AKT(PKB), PI3K reg class IB (p101), IP3 receptor, PREX1"
681,Proteolysis_Role of Parkin in the Ubiquitin-Proteasomal Pathway,24,2.05E-02,4.39E-02,2.05E-02,4.39E-02,6,"Tubulin beta, Alpha-synuclein, Cyclin E, Caspase-1, Caspase-8, Synphilin 1",5.99E-02,1.38E-01,5,"Tubulin beta, Alpha-synuclein, Cyclin E, Caspase-1, Synphilin 1"
682,Signal transduction_Activation of PKC via G-Protein coupled receptor,52,2.07E-02,4.42E-02,2.07E-02,4.42E-02,10,"PKC-theta, PKC-alpha, ERK1/2, MEF2, NF-kB, CPI-17, G-protein alpha-q/11, MELC, MLCK, IP3 receptor",4.18E-02,1.08E-01,9,"PKC-theta, PKC-alpha, MEF2, NF-kB, CPI-17, G-protein alpha-q/11, MELC, MLCK, IP3 receptor"
683,Signal transduction_Adenosine A2A receptor signaling pathway,52,2.07E-02,4.42E-02,2.07E-02,4.42E-02,10,"RelA (p65 NF-kB subunit), ENPP1, Adenylate cyclase, ERK1/2, SOS, AKT(PKB), Kir6.2, SFK, G-protein alpha-olf, Collagen III",4.18E-02,1.08E-01,9,"RelA (p65 NF-kB subunit), ENPP1, Adenylate cyclase, SOS, AKT(PKB), Kir6.2, SFK, G-protein alpha-olf, Collagen III"
684,"Development_NCAM1-mediated neurite outgrowth, synapse assembly and neuronal survival",75,2.10E-02,4.47E-02,2.10E-02,4.47E-02,13,"NMDA receptor, CACNA1H, NCAM1, PKC, GFRalpha1, NR1, ERK1/2, Fyn, Tau (MAPT), SOS, DNAI1, AKT(PKB), IP3 receptor",3.59E-02,9.75E-02,12,"NMDA receptor, CACNA1H, NCAM1, PKC, GFRalpha1, NR1, Fyn, Tau (MAPT), SOS, DNAI1, AKT(PKB), IP3 receptor"
685,Development_Cross-talk between VEGF and Angiopoietin 1 signaling pathways,25,2.14E-02,5.12E-02,2.49E-02,5.12E-02,6,"TIE2, ICAM1, PKC-alpha, Angiopoietin 1, NF-kB, IP3 receptor",2.14E-02,6.53E-02,6,"TIE2, ICAM1, PKC-alpha, Angiopoietin 1, NF-kB, IP3 receptor"
686,Immune response_LPS-induced platelet activation,25,2.14E-02,5.12E-02,2.49E-02,5.12E-02,6,"COX-2 (PTGS2), IL-1 beta, CD14, TLR4, MD-2, TLR2",2.14E-02,6.53E-02,6,"COX-2 (PTGS2), IL-1 beta, CD14, TLR4, MD-2, TLR2"
687,Zinc deficiency in Prostate Cancer,25,2.14E-02,5.12E-02,2.49E-02,5.12E-02,6,"c-IAP2, ICAM1, IL-8, IL-6, NF-kB, MMP-9",2.14E-02,6.53E-02,6,"c-IAP2, ICAM1, IL-8, IL-6, NF-kB, MMP-9"
688,Putative pathways of hormone action in neurofibromatosis type 1,25,2.14E-02,5.12E-02,2.49E-02,5.12E-02,6,"EGR2 (Krox20), PI3K cat class IA, ESR1 (nuclear), ESR1 (membrane), GHR, PR (nuclear)",2.14E-02,6.53E-02,6,"EGR2 (Krox20), PI3K cat class IA, ESR1 (nuclear), ESR1 (membrane), GHR, PR (nuclear)"
689,Immune response_PGE2 signaling in immune response,45,2.17E-02,4.60E-02,2.17E-02,4.60E-02,9,"HGF, COX-2 (PTGS2), PGE2R2, PGE2R4, IL-8, Adenylate cyclase, CCR5, ERK2 (MAPK1), ERK1 (MAPK3)",1.08E-01,2.12E-01,7,"HGF, COX-2 (PTGS2), PGE2R2, PGE2R4, IL-8, Adenylate cyclase, CCR5"
690,Development_Membrane-bound ESR1: interaction with growth factors signaling,45,2.17E-02,4.60E-02,2.17E-02,4.60E-02,9,"PI3K cat class IA, ESR1 (nuclear), ERK1/2, ErbB3, ESR1 (membrane), SOS, AKT(PKB), Caveolin-1, PDK (PDPK1)",2.18E-01,3.57E-01,6,"PI3K cat class IA, ESR1 (nuclear), ESR1 (membrane), SOS, AKT(PKB), Caveolin-1"
691,Protein folding and maturation_Bradykinin / Kallidin maturation,32,2.19E-02,5.29E-02,2.59E-02,5.29E-02,7,"Neprilysin, Tissue kallikreins, BDKRB1, BDKRB2, MMP-8, ACE2, CD13",2.19E-02,6.60E-02,7,"Neprilysin, Tissue kallikreins, BDKRB1, BDKRB2, MMP-8, ACE2, CD13"
692,NETosis in SLE,31,2.20E-02,4.63E-02,2.20E-02,4.63E-02,7,"IL-1 beta, PKC, ERK1/2, CAMP, TLR7, Fc gamma RII alpha, Histone H1",5.61E-02,1.31E-01,6,"IL-1 beta, PKC, CAMP, TLR7, Fc gamma RII alpha, Histone H1"
693,Neutrophil adhesion and transendothelial migration in asthma,31,2.20E-02,4.63E-02,2.20E-02,4.63E-02,7,"alpha-4/beta-1 integrin, ICAM1, alpha-9/beta-1 integrin, IL-8, cPLA2, ERK1/2, ERK1 (MAPK3)",1.43E-01,2.61E-01,5,"alpha-4/beta-1 integrin, ICAM1, alpha-9/beta-1 integrin, IL-8, cPLA2"
694,Development_FGF and BMP signaling in early embryonic hepatogenesis,31,2.20E-02,4.63E-02,2.20E-02,4.63E-02,7,"FGFR4, BMP4, ERK1/2, FGF2, SOS, HNF3-alpha, BMP2",5.61E-02,1.31E-01,6,"FGFR4, BMP4, FGF2, SOS, HNF3-alpha, BMP2"
695,Immune response_IL-23 signaling pathway,31,2.20E-02,4.63E-02,2.20E-02,4.63E-02,7,"STAT3, PI3K cat class IA, STAT4, ROR-gamma, NF-kB, AKT(PKB), PDK (PDPK1)",1.43E-01,2.61E-01,5,"PI3K cat class IA, STAT4, ROR-gamma, NF-kB, AKT(PKB)"
696,Apoptosis and survival_Anti-apoptotic action of membrane-bound ESR1,38,2.22E-02,4.65E-02,2.22E-02,4.65E-02,8,"BAD, PI3K cat class IA, PKC-alpha, Bcl-2, ERK1/2, ESR1 (membrane), AKT(PKB), PDK (PDPK1)",2.57E-01,4.03E-01,5,"PI3K cat class IA, PKC-alpha, Bcl-2, ESR1 (membrane), AKT(PKB)"
697,Development_Mu-type opioid receptor signaling,38,2.22E-02,4.65E-02,2.22E-02,4.65E-02,8,"Tuberin, beta-Endorphin extracellular region, G-protein alpha-i family, SOS, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), IP3 receptor",1.24E-01,2.35E-01,6,"beta-Endorphin extracellular region, G-protein alpha-i family, SOS, AKT(PKB), PI3K reg class IB (p101), IP3 receptor"
698,TNF-alpha-induced inflammatory signaling in normal and asthmatic airway epithelium,38,2.22E-02,4.65E-02,2.22E-02,4.65E-02,8,"GRO-1, IP10, ICAM1, CCL2, IL-8, ERK1/2, IL-6, NF-kB",5.13E-02,1.23E-01,7,"GRO-1, IP10, ICAM1, CCL2, IL-8, IL-6, NF-kB"
